127.0.0.1 - - [17/Dec/2020:13:23:50 +0900] "GET / HTTP/1.1" 200 165
192.168.2.254 - - [17/Dec/2020:13:24:39 +0900] "GET /board/list HTTP/1.1" 200 10992
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 5106
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/jquery.min.js HTTP/1.1" 200 88145
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/browser.min.js HTTP/1.1" 200 1851
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/util.js HTTP/1.1" 200 12433
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 200 84732
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/js/main.js HTTP/1.1" 200 1365
192.168.2.254 - - [17/Dec/2020:13:24:40 +0900] "GET /resources/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56199
192.168.2.254 - - [17/Dec/2020:13:24:41 +0900] "GET /resources/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
192.168.2.254 - - [17/Dec/2020:13:24:41 +0900] "GET /favicon.ico HTTP/1.1" 404 3055
192.168.2.254 - - [17/Dec/2020:13:24:54 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=499749&replyPageNum=1 HTTP/1.1" 200 10367
192.168.2.254 - - [17/Dec/2020:13:24:54 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 200 84732
192.168.2.254 - - [17/Dec/2020:13:24:54 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 200 4028
192.168.2.254 - - [17/Dec/2020:13:24:55 +0900] "GET /replies/pages/499749/1.json HTTP/1.1" 200 173
192.168.2.254 - - [17/Dec/2020:13:25:18 +0900] "POST /replies/new HTTP/1.1" 200 7
192.168.2.254 - - [17/Dec/2020:13:25:18 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=499749&replyPageNum=1 HTTP/1.1" 200 10367
192.168.2.254 - - [17/Dec/2020:13:25:18 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 200 84732
192.168.2.254 - - [17/Dec/2020:13:25:18 +0900] "GET /replies/pages/499749/1.json HTTP/1.1" 200 308
192.168.2.254 - - [17/Dec/2020:13:25:31 +0900] "GET /board/list HTTP/1.1" 200 10992
192.168.2.254 - - [17/Dec/2020:13:25:31 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 200 84732
192.168.2.254 - - [17/Dec/2020:13:25:32 +0900] "GET /favicon.ico HTTP/1.1" 404 3055
192.168.2.254 - - [17/Dec/2020:13:27:19 +0900] "GET /board/list HTTP/1.1" 200 10992
192.168.2.254 - - [17/Dec/2020:13:27:19 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 200 84732
192.168.2.254 - - [17/Dec/2020:13:27:19 +0900] "GET /resources/assets/js/jquery.dropotron.min.js HTTP/1.1" 200 5106
192.168.2.254 - - [17/Dec/2020:13:27:19 +0900] "GET /resources/assets/js/jquery.min.js HTTP/1.1" 200 88145
192.168.2.254 - - [17/Dec/2020:13:27:19 +0900] "GET /resources/assets/js/browser.min.js HTTP/1.1" 200 1851
